frequency_hz,level_db
3275.39,-81.68
3278.32,-78.97
3281.25,-78.24
3284.18,-82.49
3287.11,-78.91
3290.04,-75.34
3292.97,-77.16
3295.90,-82.18
3298.83,-75.26
3301.76,-72.35
3304.69,-75.18
3307.62,-79.43
3310.55,-75.16
3313.48,-73.40
3316.41,-73.77
3319.34,-76.27
3322.27,-74.91
3325.20,-70.17
3328.13,-68.05
3331.05,-71.25
3333.98,-75.25
3336.91,-69.80
3339.84,-70.59
3342.77,-75.75
3345.70,-77.72
3348.63,-72.57
3351.56,-70.30
3354.49,-72.30
3357.42,-77.96
3360.35,-74.29
3363.28,-70.58
3366.21,-70.92
3369.14,-75.54
3372.07,-74.40
3375.00,-70.24
3377.93,-71.61
3380.86,-76.78
3383.79,-80.62
3386.72,-77.57
3389.65,-75.75
3392.58,-80.50
3395.51,-89.31
3398.44,-83.18
3401.37,-81.30
3404.30,-78.34
3407.23,-78.58
3410.16,-84.17
3413.09,-78.38
3416.02,-75.96
3418.95,-80.86
3421.88,-86.74
3424.80,-80.69
3427.73,-81.14
3430.66,-82.59
3433.59,-82.15
3436.52,-83.43
3439.45,-82.23
3442.38,-80.61
3445.31,-77.29
3448.24,-77.83
3451.17,-78.33
3454.10,-73.08
3457.03,-73.36
3459.96,-77.86
3462.89,-80.67
3465.82,-77.91
3468.75,-74.55
3471.68,-74.83
3474.61,-78.40
3477.54,-73.94
3480.47,-72.34
3483.40,-75.75
3486.33,-81.63
3489.26,-75.31
3492.19,-73.93
3495.12,-77.94
3498.05,-78.27
3500.98,-76.87
3503.91,-77.29
3506.84,-74.86
3509.77,-76.70
3512.70,-82.26
3515.63,-77.22
3518.55,-74.41
3521.48,-77.00
3524.41,-82.39
3527.34,-76.47
3530.27,-75.17
3533.20,-77.30
3536.13,-81.73
3539.06,-79.84
3541.99,-77.30
3544.92,-74.84
3547.85,-75.41
3550.78,-80.29
3553.71,-74.22
3556.64,-72.48
3559.57,-77.13
3562.50,-80.64
3565.43,-75.62
3568.36,-74.04
3571.29,-75.87
3574.22,-77.91
3577.15,-75.05
3580.08,-76.52
3583.01,-77.99
3585.94,-77.83
3588.87,-80.28
3591.80,-78.67
3594.73,-74.02
3597.66,-74.09
3600.59,-78.29
3603.52,-78.13
3606.45,-73.08
3609.38,-71.84
3612.30,-76.41
3615.23,-75.71
3618.16,-72.08
3621.09,-74.02
3624.02,-80.10
3626.95,-76.58
3629.88,-74.37
3632.81,-78.05
3635.74,-82.41
3638.67,-78.35
3641.60,-79.97
3644.53,-84.36
3647.46,-83.15
3650.39,-85.12
3653.32,-84.77
3656.25,-87.78
3659.18,-86.15
3662.11,-82.13
3665.04,-79.73
3667.97,-78.84
3670.90,-81.02
3673.83,-83.16
3676.76,-79.58
3679.69,-76.89
3682.62,-78.93
3685.55,-82.62
3688.48,-76.58
3691.41,-72.29
3694.34,-72.14
3697.27,-77.01
3700.20,-74.24
3703.13,-71.12
3706.05,-72.53
3708.98,-78.29
3711.91,-73.39
3714.84,-71.42
3717.77,-74.94
3720.70,-78.88
3723.63,-72.45
3726.56,-72.02
3729.49,-77.70
3732.42,-79.79
3735.35,-75.58
3738.28,-77.31
3741.21,-80.84
3744.14,-77.89
3747.07,-76.28
3750.00,-78.50
3752.93,-82.25
3755.86,-81.94
3758.79,-82.09
3761.72,-84.70
3764.65,-87.37
3767.58,-85.86
3770.51,-85.34
3773.44,-87.77
3776.37,-90.63
3779.30,-89.10
3782.23,-84.05
3785.16,-82.02
3788.09,-83.57
3791.02,-84.73
3793.95,-79.62
3796.88,-78.28
3799.80,-83.15
3802.73,-85.78
3805.66,-79.69
3808.59,-79.01
